[2017-01-31T01:14:49+0100] DFHack v0.40.24-r5-0-g3330225 on OS X; cwd md5: c1bb43438e; save: region2; SC_WORLD_UNLOADED; game type NONE (11)
[2017-01-31T01:15:23+0100] DFHack v0.40.24-r5-0-g3330225 on OS X; cwd md5: c1bb43438e; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-01-31T14:22:02+0100] DFHack v0.40.24-r5-0-g3330225 on OS X; cwd md5: c1bb43438e; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-01-31T14:25:07+0100] DFHack v0.40.24-r5-0-g3330225 on OS X; cwd md5: c1bb43438e; save: region2; SC_MAP_LOADED; game type DWARF_RECLAIM (3)
[2017-01-31T14:27:35+0100] DFHack v0.40.24-r5-0-g3330225 on OS X; cwd md5: c1bb43438e; save: region2; SC_MAP_UNLOADED; game type DWARF_RECLAIM (3)
[2017-01-31T14:28:10+0100] DFHack v0.40.24-r5-0-g3330225 on OS X; cwd md5: c1bb43438e; save: region2; SC_WORLD_UNLOADED; game type NONE (11)
[2017-01-31T14:30:30+0100] DFHack v0.40.24-r5-0-g3330225 on OS X; cwd md5: c1bb43438e; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-01-31T14:33:52+0100] DFHack v0.40.24-r5-0-g3330225 on OS X; cwd md5: c1bb43438e; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-01-31T23:32:35+0100] DFHack v0.40.24-r5-0-g3330225 on OS X; cwd md5: c1bb43438e; save: region2; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2017-01-31T23:32:35+0100] DFHack v0.40.24-r5-0-g3330225 on OS X; cwd md5: c1bb43438e; save: region2; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2017-02-01T09:40:25+0100] DFHack v0.40.24-r5-0-g3330225 on OS X; cwd md5: c1bb43438e; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-02-01T09:40:26+0100] DFHack v0.40.24-r5-0-g3330225 on OS X; cwd md5: c1bb43438e; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-02-05T00:22:20+0000] DFHack v0.40.24-r5-0-g3330225 on OS X; cwd md5: c1bb43438e; save: region2; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2017-02-05T00:22:20+0000] DFHack v0.40.24-r5-0-g3330225 on OS X; cwd md5: c1bb43438e; save: region2; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2017-02-05T00:26:31+0000] DFHack v0.40.24-r5-0-g3330225 on OS X; cwd md5: c1bb43438e; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-02-05T00:26:32+0000] DFHack v0.40.24-r5-0-g3330225 on OS X; cwd md5: c1bb43438e; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-02-05T21:14:00+0000] DFHack v0.40.24-r5-0-g3330225 on OS X; cwd md5: c1bb43438e; save: region2; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2017-02-05T21:14:00+0000] DFHack v0.40.24-r5-0-g3330225 on OS X; cwd md5: c1bb43438e; save: region2; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2017-02-05T21:18:29+0000] DFHack v0.40.24-r5-0-g3330225 on OS X; cwd md5: c1bb43438e; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-02-05T21:18:30+0000] DFHack v0.40.24-r5-0-g3330225 on OS X; cwd md5: c1bb43438e; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-02-05T23:16:28+0000] DFHack v0.40.24-r5-0-g3330225 on OS X; cwd md5: c1bb43438e; save: region2; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2017-02-05T23:16:28+0000] DFHack v0.40.24-r5-0-g3330225 on OS X; cwd md5: c1bb43438e; save: region2; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2017-02-05T23:18:35+0000] DFHack v0.40.24-r5-0-g3330225 on OS X; cwd md5: c1bb43438e; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-02-05T23:18:35+0000] DFHack v0.40.24-r5-0-g3330225 on OS X; cwd md5: c1bb43438e; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-02-07T00:26:22+0000] DFHack v0.40.24-r5-0-g3330225 on OS X; cwd md5: c1bb43438e; save: region2; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2017-02-07T00:26:22+0000] DFHack v0.40.24-r5-0-g3330225 on OS X; cwd md5: c1bb43438e; save: region2; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2017-02-07T20:19:01+0000] DFHack v0.40.24-r5-0-g3330225 on OS X; cwd md5: c1bb43438e; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-02-07T20:19:01+0000] DFHack v0.40.24-r5-0-g3330225 on OS X; cwd md5: c1bb43438e; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-02-07T21:28:28+0000] DFHack v0.40.24-r5-0-g3330225 on OS X; cwd md5: c1bb43438e; save: region2; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2017-02-07T21:28:28+0000] DFHack v0.40.24-r5-0-g3330225 on OS X; cwd md5: c1bb43438e; save: region2; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
